neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Throgs Neck,140.0,25,17.1988,21.24,23.3,56.9,10.6,29.6
Todt Hill,82.0,4,20.9375,5.75,13.7,47.5,2.9,20.6
Tompkinsville,118.6,40,14.70475,38.475,19.8,63.1,19.2,32.6
Tottenville,128.8,5,39.894,53.2,21.5,0.0,26.6,16.6
Tremont,106.91666666666667,12,12.373333333333333,12.5,17.8,69.0,6.2,29.7
Tribeca,496.2386363636364,88,1.927159090909091,22.727272727272727,82.7,95.2,11.4,65.1
Two Bridges,205.53333333333333,15,0.856,16.733333333333334,34.3,97.9,8.4,45.6
Unionport,158.3846153846154,13,14.493846153846155,29.76923076923077,26.4,63.7,14.9,34.1
University Heights,94.25,4,12.8875,22.25,15.7,67.7,11.1,29.9
Upper East Side,238.0910125142207,879,2.113128555176337,13.706484641638225,39.7,94.7,6.9,46.4
Upper West Side,268.15084525357605,769,1.8549544863459038,20.876462938881666,44.7,95.4,10.4,49.6
Van Nest,169.0,12,14.384166666666667,35.5,28.2,63.9,17.8,35.8
Vinegar Hill,305.2142857142857,14,1.7114285714285715,27.357142857142858,50.9,95.7,13.7,53.2
Wakefield,103.37037037037037,54,20.73851851851852,31.85185185185185,17.2,48.0,15.9,26.0
Washington Heights,106.53469387755102,245,9.456122448979592,31.102040816326532,17.8,76.3,15.6,34.7
West Brighton,92.47619047619048,21,16.974761904761905,31.095238095238095,15.4,57.5,15.5,28.1
West Farms,144.0,2,12.545,1.5,24.0,68.6,0.8,30.4
West Village,410.44736842105266,228,2.945219298245614,23.82894736842105,68.4,92.6,11.9,58.7
Westchester Square,110.33333333333333,6,15.71,21.666666666666668,18.4,60.6,10.8,28.8
Westerleigh,173.0,4,20.17,12.0,28.8,49.4,6.0,28.1
Whitestone,123.93333333333334,15,16.621333333333332,61.6,20.7,58.3,30.8,35.0
Williamsbridge,85.74285714285715,35,18.421142857142858,20.514285714285716,14.3,53.8,10.3,25.0
Williamsburg,206.9924906132666,799,5.059699624530663,34.550688360450565,34.5,87.3,17.3,45.2
Willowbrook,213.5,2,21.82,27.5,35.6,45.3,13.8,32.0
Windsor Terrace,198.26530612244898,49,7.659387755102041,50.0,33.0,80.8,25.0,44.9
Woodhaven,95.22222222222223,63,15.625714285714285,31.61904761904762,15.9,60.8,15.8,29.3
Woodlawn,150.16666666666666,6,20.451666666666668,14.5,25.0,48.7,7.2,26.8
Woodrow,59.0,2,31.815,2.0,9.8,20.3,1.0,10.3
Woodside,89.70552147239263,163,8.996441717791411,31.208588957055216,15.0,77.4,15.6,33.9
